,Store ID,Pop class,Sales,Centre Type,Climate,Total_Store_sft,Sales_Floor_sft,Store_Frontage_ft,Store_Length_ft,Guys Segmentation,Girls Segmentation,MSA Type,Food_away_from_home,Meals_at_restaurants,Food_on_out_of_town_trips,Population_Est,Transient_Pop_Est,Seasonal_Pop_Est,Eth_White,Eth_Black,Eth_Asian,Eth_Hispanic,Eth_Other,Male_Pop,Females_Pop,Age_Average,Edu_High_school,Edu_Some_college,Edu_Clg_Assoc_deg,Edu_Clg_Bach_deg,Enroll_High_School,Enr_College_Graduate_Professional,Unemployment_Rate,Households_Est,Median_Household_Income,Average_Household_Income,Householder_under_25_yrs,Householder_25_to_44_yrs,Family_Inc_Median,Family_Inc_Agg_Avg,Family_Inc_Avg,Per_Capita_Income,Wealth_Median_Household,Wealth_Average_Household,Poverty_Pop,Male_14_to_35,Female_14_to_35,Total_Pop_14_to_35,Under_25_Low_Income,Under_25_Med_Income,Under_25_High_Income,25_to_44_Low_Income,25_to_44_Med_Income,25_to_44_High_Income
95,414,Suburban,1030068.96,Mall,Warm,7000,6299,75,100,Fashion Forward,Fashion Forward,15min,25.16,22.99,2.17,62523,499,362,38983,18669,1073,2554,1246,31334,31189,32.9,8120,8135,2720,5740,2434,18187,4.8,22816,42815,60085,4034,8345,58436,933398979,70657,22413,1593263,6277795,7266,14936,13636,28572,2813,1027,195,2650,3140,2557
96,416,Urban,1403309.36,Outlet,Warm,6532,5651,56,101,Fashion Forward,Fashion Forward,30min,23.55,21.5,2.05,363390,5490,1959,197892,139017,4667,14042,7771,175224,188165,38.4,75796,58359,16480,37281,18930,19670,5.0,143481,45092,65610,5986,49141,57283,6844397993,72024,26334,15399967,53064627,28715,52035,50742,102777,3167,2120,698,16371,17461,15308
97,418,Urban,828737.6099999998,Strip,Warm,6000,4960,60,100,Fashion Forward,Fashion Forward,5mile,27.07,24.57,2.5,53003,1672,2,29919,18805,830,2561,889,24897,28106,38.4,10222,7316,2467,7290,3107,5484,3.4,20740,48390,67302,1298,6610,61777,1003488102,75072,27517,2100754,7149560,3745,7810,8195,16005,691,428,179,2075,2704,1833
98,420,Urban,833333.2099999998,Strip,Warm,4160,3520,52,80,On Trend,On Trend,5mile,25.08,23.03,2.05,79373,790,165,51804,5916,1541,18155,1957,38785,40588,37.4,15374,13326,4212,8318,3800,5974,2.7,31526,51540,67426,2219,11737,59479,1448853530,72017,27225,4356303,14545590,4204,11457,11108,22565,1027,985,207,2526,5920,3290
99,422,Urban,607763.2899999999,Strip,Moderate,4196,3375,40,110,On Trend,On Trend,5mile,26.78,24.27,2.51,58456,365,217,46267,5366,1926,3590,1306,29045,29411,37.2,11294,8156,3377,7945,4151,3008,3.7,20574,65357,78032,602,7406,73269,1266307076,82902,27918,1716068,5144291,1785,8733,8177,16910,191,340,71,971,3010,3425
100,423,Urban,875399.9799999997,Strip,Warm,4000,3359,59,91,On Trend,On Trend,5mile,24.78,22.72,2.07,40125,631,164,25897,4082,643,7924,1579,19371,20753,37.2,7811,6332,2500,3362,2565,3348,4.6,15396,48312,62427,669,5009,56254,682317785,68540,24361,2002774,6921981,2581,5974,6068,12042,335,258,76,1056,2783,1169
101,425,Urban,762130.12,Strip,Warm,3436,2900,49,70,On Trend,On Trend,5mile,23.62,21.36,2.27,202404,1763,444,16121,3803,1286,179676,1519,96664,105740,36.1,34146,30909,9874,17648,14057,19643,3.9,64679,43969,58511,2721,21466,47984,3118268637,60361,18752,7716294,26317278,13043,32315,31524,63839,1399,1103,219,7031,9257,5177
102,426,Urban,1024337.26,Outlet,Warm,3200,2800,32,100,Fashion Forward,Fashion Forward,30min,28.4,25.55,2.85,2871684,46677,8303,1511861,326920,274019,684839,74046,1424925,1446759,36.3,311803,365160,119131,522755,163724,185959,3.2,1099394,77824,108588,36491,477227,91061,76323580221,106096,41785,128493112,375394359,102361,387939,371152,759091,13777,15845,6868,67356,158682,251188
103,427,Suburban,734357.9499999996,Mall,Frigid,7638,7104,100,76,On Trend,On Trend,15min,25.15,22.9,2.25,30576,1038,1606,25772,243,300,582,3679,15198,15377,37.7,5215,4528,2526,3723,1485,3768,5.1,11865,48089,64463,1070,3623,63341,547090154,73840,25979,1467965,4644845,1914,5423,5039,10462,671,292,105,984,1388,1252
104,431,Urban,1313383.27,Mall,Moderate,8223,6441,54,152,On Trend,On Trend,15min,24.93,22.61,2.32,76031,1394,559,68604,3875,890,941,1721,37034,38997,40.4,16265,10956,4286,8013,3072,7695,4.7,32164,39944,59907,2458,9684,58134,1338431619,71900,25886,4268282,14095422,7304,10937,10734,21671,1755,641,61,3539,3403,2742
105,432,Urban,732215.7699999999,Strip,Warm,6076,5201,61,104,On Trend,On Trend,5mile,26.81,24.18,2.64,48079,157,125,36597,1284,1003,2935,6259,23542,24537,37.4,8120,7689,2934,7148,3137,2778,2.6,17605,70124,82672,801,6687,79453,1173942923,90014,30437,1430673,4290082,1070,7106,6935,14041,292,452,56,712,2416,3560
106,433,Urban,1028371.24,Strip,Hot,8000,6895,81,99,Fashion Forward,Fashion Forward,5mile,26.78,24.29,2.49,60903,495,57,41785,11942,709,3044,3423,29896,31007,38.3,15552,8535,1955,5285,3069,1878,5.3,22859,49852,68523,1003,7672,57758,1138431575,72947,25972,2670841,9101817,4012,8645,8467,17112,455,461,86,1771,2317,3586
107,436,Urban,1013333.7,Mall,Warm,7326,6471,70,105,Fashion Forward,Fashion Forward,15min,25.09,22.71,2.38,304721,5191,846,155288,106604,10210,20467,12152,147987,156734,38.4,52616,53425,20040,35087,15930,29581,4.1,119758,57689,73444,5707,43752,68541,6415446392,81132,29380,13720046,44013099,14165,46144,43805,89949,2448,2355,905,10051,19358,14345
108,437,Suburban,1124650.69,Mall,Warm,7000,6332,67,121,Fashion Forward,Fashion Forward,15min,23.53,21.49,2.04,71311,539,706,41662,12009,757,15853,1030,34778,36533,37.6,13407,11601,3659,5601,4490,3804,4.9,25558,47995,62314,1269,8745,54963,1236074014,66785,22956,2496640,8803892,4649,10366,10163,20529,745,326,199,2470,3569,2708
109,440,Urban,1450794.15,Strip,Hot,7539,6648,80,106,Fashion Forward,Fashion Forward,5mile,26.39,23.66,2.73,166518,3363,134,110884,29481,3929,19191,3032,80985,85533,40.9,32526,27293,6509,24399,6394,10790,3.9,72803,54347,77331,2152,23689,70181,3693826348,86446,33973,10990901,34734887,10439,19814,19688,39502,1034,919,200,5642,9172,8877
110,441,Urban,698195.3600000001,Strip,Moderate,3863,3405,51,75,On Trend,On Trend,5mile,24.48,22.21,2.27,102971,1312,427,91347,2558,2847,3157,3062,49406,53565,39.3,16384,17383,4906,15990,3506,16115,2.8,46126,43803,63660,4143,15751,61720,1824502808,76289,28934,4286588,14328985,8296,15907,16341,32248,2857,1184,102,4720,6900,4133
111,444,Urban,1126330.5,Mall,Warm,5370,4593,50,105,Fashion Forward,Fashion Forward,15min,22.37,20.4,1.97,97931,1855,411,60112,28722,826,5700,2571,48381,49550,38.6,21682,17343,3905,9063,5356,5099,6.5,38046,44078,64609,1766,11995,54357,1767615607,69290,25809,4730720,16189717,7714,14367,12837,27204,1175,466,124,4144,4584,3267
112,448,Suburban,603712.0,Mall,Cold,4944,4192,60,92,On Trend,On Trend,15min,27.04,24.61,2.42,37777,426,163,32932,359,357,3630,499,18572,19206,41.8,9240,6768,2878,3353,1704,2044,4.4,15847,50566,63905,470,4648,63728,743704188,75170,27313,2879803,8860405,1916,4820,4660,9480,229,178,62,1127,2083,1437
